Executando com 4 tarefas (blocos de colunas), grade 500x500, 5000 gerações...
Tempo interno de execucao: 258.500022 segundos
         2791538 function calls (2791187 primitive calls) in 258.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:400(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x70a92b6dd220}
       29    0.000    0.000    0.000    0.000 enum.py:68(_is_internal_class)
       44    0.000    0.000    0.000    0.000 connection.py:142(_check_readable)
       20    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       42    0.000    0.000    0.000    0.000 _compat_pickle.py:164(<genexpr>)
       38    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:706(SpooledTemporaryFile)
       16    0.000    0.000    0.000    0.000 socket.py:513(detach)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 threading.py:869(Thread)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 context.py:251(set_start_method)
        3    0.000    0.000    0.000    0.000 enum.py:918(_check_for_existing_members_)
        5    0.000    0.000    0.000    0.000 context.py:243(get_context)
      2/1    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       30    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 <frozen os>:786(encode)
       21    0.000    0.000    0.000    0.000 enum.py:90(_is_single_bit)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 connection.py:118(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 _zstdfile.py:20(ZstdFile)
       23    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:373(abspath)
       44    0.000    0.000    0.000    0.000 connection.py:146(_check_writable)
        1    0.000    0.000    0.000    0.000 socket.py:683(SocketIO)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:45(add)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 context.py:289(SpawnProcess)
       16    0.000    0.000    0.000    0.000 connection.py:121(__init__)
       39    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        1    0.000    0.000    0.000    0.000 gol_multiprocess.py:15(_split_columns)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:656(has_location)
        1    0.000    0.000    0.000    0.000 threading.py:438(notify_all)
       28    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       16    0.000    0.000    0.000    0.000 {method 'setblocking' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:17(AbstractContextManager)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:15(_remove)
        7    0.000    0.000    0.000    0.000 enum.py:789(__members__)
        1    0.000    0.000    0.000    0.000 threading.py:602(__init__)
       23    0.000    0.000    0.000    0.000 enum.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:917(__init__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(<genexpr>)
