Executando com 4 tarefas (blocos de colunas), grade 500x500, 5000 gerações...
Tempo interno de execucao: 256.656799 segundos
         2791548 function calls (2791197 primitive calls) in 256.665 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      102    0.000    0.000    0.000    0.000 enum.py:903(<lambda>)
        1    0.000    0.000    0.000    0.000 enum.py:1594(__and__)
        2    0.000    0.000    0.000    0.000 selectors.py:568(_can_use)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
       29    0.000    0.000    0.000    0.000 enum.py:68(_is_internal_class)
        2    0.000    0.000    0.000    0.000 _compiler.py:400(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 threading.py:630(set)
       44    0.000    0.000    0.000    0.000 connection.py:142(_check_readable)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
        5    0.000    0.000    0.000    0.000 context.py:243(get_context)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       16    0.000    0.000    0.000    0.000 socket.py:513(detach)
        1    0.000    0.000    0.000    0.000 pickle.py:418(_Pickler)
        3    0.000    0.000    0.000    0.000 enum.py:918(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x72de89035220}
       60    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       38    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:706(SpooledTemporaryFile)
       20    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       11    0.000    0.000    0.000    0.000 <frozen codecs>:189(__init__)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       44    0.000    0.000    0.000    0.000 connection.py:146(_check_writable)
       30    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 threading.py:869(Thread)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:166(<genexpr>)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
      2/1    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
       16    0.000    0.000    0.000    0.000 connection.py:121(__init__)
       42    0.000    0.000    0.000    0.000 _compat_pickle.py:164(<genexpr>)
        1    0.000    0.000    0.000    0.000 _zstdfile.py:20(ZstdFile)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:45(add)
       21    0.000    0.000    0.000    0.000 enum.py:90(_is_single_bit)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:656(has_location)
        2    0.000    0.000    0.000    0.000 <frozen os>:786(encode)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(<genexpr>)
       16    0.000    0.000    0.000    0.000 {method 'setblocking' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 connection.py:118(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 threading.py:438(notify_all)
        1    0.000    0.000    0.000    0.000 context.py:251(set_start_method)
        1    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
       39    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        1    0.000    0.000    0.000    0.000 contextlib.py:17(AbstractContextManager)
        1    0.000    0.000    0.000    0.000 process.py:403(__init__)
       23    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:202(_AsyncGeneratorContextManager)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:15(_remove)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:373(abspath)
        1    0.000    0.000    0.000    0.000 threading.py:602(__init__)
        1    0.000    0.000    0.000    0.000 gol_multiprocess.py:15(_split_columns)
        2    0.000    0.000    0.000    0.000 enum.py:777(__iter__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:917(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:685(Barrier)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 selectors.py:84(BaseSelector)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:750(create_module)
       23    0.000    0.000    0.000    0.000 enum.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 enum.py:677(__call__)
      3/2    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 tempfile.py:885(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 context.py:226(Process)
        1    0.000    0.000    0.000    0.000 contextlib.py:472(_BaseExitStack)
        1    0.000    0.000    0.000    0.000 _streams.py:33(DecompressReader)
        7    0.000    0.000    0.000    0.000 enum.py:789(__members__)
        1    0.000    0.000    0.000    0.000 socket.py:683(SocketIO)
        6    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        8    0.000    0.000    0.000    0.000 _parser.py:256(match)
        6    0.000    0.000    0.000    0.000 _parser.py:261(get)
       32    0.000    0.000    0.000    0.000 {method 'detach' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(get_filename)
        1    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        3    0.000    0.000    0.000    0.000 enum.py:334(__init__)
        9    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 context.py:289(SpawnProcess)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:12(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
        1    0.000    0.000    0.000    0.000 threading.py:278(Condition)
       29    0.000    0.000    0.000    0.000 enum.py:236(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:290(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:1576(_get_value)
        6    0.000    0.000    0.000    0.000 reduction.py:43(register)
        3    0.000    0.000    0.000    0.000 enum.py:947(_find_data_repr_)
        8    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        4    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 weakref.py:235(update)
        1    0.000    0.000    0.000    0.000 contextlib.py:41(AbstractAsyncContextManager)
        1    0.000    0.000    0.000    0.000 <frozen os>:790(decode)
        8    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        1    0.000    0.000    0.000    0.000 pickle.py:193(_Framer)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.epoll' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:631(AsyncExitStack)
        1    0.000    0.000    0.000    0.000 subprocess.py:132(CalledProcessError)
        7    0.000    0.000    0.000    0.000 enum.py:1724(_simple_enum)
        1    0.000    0.000    0.000    0.000 popen_fork.py:13(Popen)
        1    0.000    0.000    0.000    0.000 threading.py:408(notify)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:596(catch_warnings)
        1    0.000    0.000    0.000    0.000 context.py:236(DefaultContext)
        1    0.000    0.000    0.000    0.000 connection.py:381(Connection)
        6    0.000    0.000    0.000    0.000 connection.py:877(<genexpr>)
        1    0.000    0.000    0.000    0.000 selectors.py:281(SelectSelector)
        1    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
